"행정구역별(시군구)","성별",2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"동대문구","남자",27103,23117,15541,3783,282,2164,1347,3986,27638,23324,15375,3941,290,2396,1322,4314,28098,23847,15399,4340,292,2609,1207,4251,29176,24830,15476,4890,313,2748,1403,4346,30239,24795,15076,5253,364,2922,1180,5444
"동대문구","여자",25547,22480,13636,5268,317,2158,1101,3067,26392,22999,13536,5697,339,2317,1110,3393,27495,24068,13628,6363,330,2625,1122,3427,28976,25191,13715,7072,381,2880,1143,3785,30686,25523,13187,7772,411,3103,1050,5163
"중랑구","계",45717,42835,28600,6891,760,5271,1313,2882,47543,44488,29030,7470,773,5812,1403,3055,49207,45940,28846,8012,834,6787,1461,3267,52196,48599,29517,8886,890,7692,1614,3597,56605,52480,30367,10631,1007,8825,1650,4125
"중랑구","남자",23176,21500,15278,2640,330,2535,717,1676,24000,22236,15574,2850,331,2712,769,1764,24711,22833,15407,3085,363,3177,801,1878,25988,23967,15866,3349,355,3503,894,2021,28068,25821,16400,4084,416,3997,924,2247
"중랑구","여자",22541,21335,13322,4251,430,2736,596,1206,23543,22252,13456,4620,442,3100,634,1291,24496,23107,13439,4927,471,3610,660,1389,26208,24632,13651,5537,535,4189,720,1576,28537,26659,13967,6547,591,4828,726,1878
"성북구","계",54117,49692,29496,9688,1111,6614,2783,4425,54243,49522,28424,10249,1131,6953,2765,4721,55136,50351,28327,10703,1140,7457,2724,4785,57832,53089,28593,12168,1206,8305,2817,4743,61510,56001,29270,13300,1447,9417,2567,5509
"성북구","남자",24615,22422,13940,3687,468,2910,1417,2193,24560,22237,13503,3938,484,2983,1329,2323,24777,22430,13442,3993,476,3236,1283,2347,26131,23800,13702,4678,490,3548,1382,2331,27229,24585,13717,5014,601,4037,1216,2644
"성북구","여자",29502,27270,15556,6001,643,3704,1366,2232,29683,27285,14921,6311,647,3970,1436,2398,30359,27921,14885,6710,664,4221,1441,2438,31701,29289,14891,7490,716,4757,1435,2412,34281,31416,15553,8286,846,5380,1351,2865
"강북구","계",36668,34256,19573,5453,824,7588,818,2412,39082,36431,20371,5954,886,8294,926,2651,40872,38020,20918,6208,893,9084,917,2852,42791,39843,21490,6993,905,9500,955,2948,45685,42513,22451,7211,1024,10889,938,3172
"강북구","남자",16871,15496,9518,1964,319,3254,441,1375,17809,16278,9776,2179,336,3507,480,1531,18508,16858,10104,2175,323,3786,470,1650,19517,17770,10530,2520,336,3880,504,1747,20958,19028,11028,2622,393,4483,502,1930
